,OBJECTID_1,X,Y,Cluster
151,19030,-79.0564809999696,35.9145279998349,First
152,19134,-79.05937100035491,35.9128020002594,First
153,19404,-79.0570090003082,35.912707000027,First
154,19522,-79.0239370003082,35.9081330001574,No Cluster
155,19946,-79.01087399993101,35.9454720003557,No Cluster
156,20435,-79.0570270003653,35.91272800007,First
157,20580,-79.0320600000938,35.9323789997628,Second
158,20587,-79.0556670001184,35.9130579999292,First
159,20601,-79.05663500004029,35.9372770000572,No Cluster
160,20700,-79.0544959997241,35.913712999937296,First
161,20711,-79.01633499961109,35.951643000377004,No Cluster
162,21269,-79.0564399998448,35.9110630003471,First
163,21485,-79.0103779997639,35.90748100020129,No Cluster
164,21488,-79.06520999971241,35.9099209996089,First
165,21691,-79.03019300004259,35.927491000313296,Second
166,21741,-79.05588899985679,35.9211059997108,No Cluster
167,21964,-79.0515770003697,35.903376999695,First
168,21965,-79.0439679997224,35.900886999916395,First
169,21966,-79.0488859998309,35.9041619996961,First
170,21976,-79.0543709995508,35.9108160004002,First
171,21983,-79.0519519994592,35.9015370000784,First
172,21984,-79.04871799961921,35.902955999736,First
173,21985,-79.05035299971021,35.9041499997911,First
174,21993,-79.0467559995499,35.9098899999551,First
175,22099,-79.0549519998573,35.922967000418794,No Cluster
176,22606,-79.0477870000654,35.913212999654796,First
177,22666,-79.0444880005554,35.9037850001362,First
178,22824,-79.0164170001148,35.9513969996668,No Cluster
179,22842,-79.0444880002369,35.9115070001925,First
180,22981,-79.05417899963079,35.9249909999196,No Cluster
181,23053,-79.0090140000874,35.905857000099395,No Cluster
182,23147,-79.0479920002174,35.9159919996449,First
183,23223,-79.0241319999916,35.936125999767704,Second
184,23336,-79.06619599959349,35.9515749998447,No Cluster
185,23338,-79.0512160002087,35.91604200020029,First
186,23615,-79.0568630003765,35.91634199959321,First
187,23665,-79.0223860003089,35.9370719999941,Second
188,24968,-79.0306589995665,35.9038339996031,No Cluster
189,24988,-79.0537519999955,35.908448999892,First
190,24989,-79.0444770003979,35.9038040000534,First
191,25045,-79.0591609997959,35.9665130002804,Third
192,25079,-79.0388070001346,35.9219390004261,No Cluster
193,25386,-79.0444019997694,35.9065179999445,First
